date,hour,event_type,description,program
2020-12-17,17:05,Discours,Table ronde conclusive en visioconférence de la Conférence nationale humanitaire.,['Conclusion par le Président Emmanuel Macron de la Conférence nationale humanitaire.']
2020-12-20,17:00,Conseil de défense,Conseil de défense Covid-19 en visioconférence.,[]
2020-12-21,10:00,Conseil des ministres,Conseil des ministres en visioconférence.,['Compte rendu du Conseil des ministres du lundi 21 décembre 2020.']
2020-12-29,11:00,Conseil de défense,Conseil restreint de défense COVID-19.,[]
2020-12-31,20:00,Discours,Vœux 2021 aux Français,['Vœux 2021 aux Français.']
2021-01-04,Après-midi,Réunion,"Réunion ministérielle en présence de M. CASTEX, Premier ministre, M. LE DRIAN, ministre de l’Europe et des Affaires étrangères, M. LE MAIRE, ministre de l'Économie, des Finances et de la Relance, M. VÉRAN, ministre des Solidarités et de la Santé, Mme VIDAL, ministre de l’Enseignement supérieur, de la Recherche et de l’Innovation, Mme PANNIER-RUNACHER,  ministre déléguée chargée de l’Industrie, et M. Clément BEAUNE,  secrétaire d'État chargé des Affaires européennes.",[]
2021-01-05,14:00,Déplacement,Déplacement à la Caisse d'allocations familiales (CAF) de Tours.,['Stop aux pensions alimentaires impayées !']
2021-01-06,09:00,Conseil de défense,Conseil de défense Covid-19.,[]
2021-01-06,10:30,Conseil des ministres,Conseil des ministres.,['Compte rendu du Conseil des ministres du mercredi 6 janvier 2021.']
2021-01-07,11:00,Réception,Vœux au Conseil constitutionnel.,[]
2021-01-07,15:00,Réception,Vœux aux autorités religieuses.,[]
2021-01-08,Matin,Déplacement,Déplacement à Jarnac pour le 25e anniversaire de la mort de François Mitterrand.,"[""Déplacement à Jarnac à l'occasion du 25e anniversaire de la mort du Président François Mitterrand.""]"
2021-01-11,Toute la journée,Sommet,Quatrième édition du One Planet Summit dédiée aux enjeux de protection de la biodiversité.,['4ème édition du One Planet Summit dédiée aux enjeux de protection de la biodiversité.']
2021-01-12,09:00,Conseil de défense,Conseil restreint de défense.,[]
2021-01-12,10:15,Entretien,Entretien avec le Premier ministre.,[]
2021-01-12,Après-midi,Déplacement,Déplacement sur le site d'ArianeGroup dans l'Eure.,['Déclaration du Président Emmanuel Macron depuis le site ArianeGroup à Vernon.']
2021-01-12,Après-midi,Déplacement,Déplacement sur le thème de l'agroécologie à Tilly dans l'Eure.,"[""Rencontre du Président Emmanuel Macron avec des acteurs de l'agroécologie à Tilly.""]"
2021-01-13,08:30,Entretien,Entretien avec le Premier ministre.,[]
2021-01-13,09:00,Conseil de défense,Conseil de defense Covid-19.,[]
2021-01-13,10:30,Conseil des ministres,Conseil des ministres et séminaire de rentrée.,['Compte rendu du Conseil des ministres et du séminaire gouvernemental du mercredi 13 janvier 2021.']
2021-01-13,15:00,Réception,Réception des maîtres boulangers pour l’Épiphanie.,['Réception des maîtres boulangers pour l’Épiphanie.']
2021-01-13,20:30,Dîner,"Dîner avec M. Mohamed Ould GHAZOUANI, Président de la République islamique de Mauritanie.",[]
2021-01-15,13:00,Déjeuner,"Déjeuner avec M. Mahamadou ISSOUFOU, Président de la République du Niger.",[]
2021-01-16,10:00,Entretien,"Entretien téléphonique avec  M. Mohammed BEN SALMAN, Prince-héritier d'Arabie saoudite.",[]
2021-01-18,10:00,Entretien,"Entretien avec M. Jean-Yves LE DRIAN, ministre de l’Europe et des Affaires étrangères.",[]
2021-01-18,12:00,Réunion,Réunion avec les représentants du Conseil français du culte musulman (CFCM).,[]
2021-01-18,13:00,Déjeuner,Déjeuner avec le Premier ministre.,[]
